Species,Family,SVL,TL,Weight,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Occidozyga laevis,Dicroglossidae,28.5,9.8,3.42,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Occidozyga lima,Dicroglossidae,23,10,2.35,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Occidozyga lima,Dicroglossidae,26,9.67,4.67,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Occidozyga lima,Dicroglossidae,24,9,3,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Occidozyga lima,Dicroglossidae,30,10,6,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Kalophrynus pleurostigma ,Microhylidae,42,17,8,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Kalophrynus pleurostigma ,Microhylidae,25.5,11,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus pleurostigma ,Microhylidae,41,16,7.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus pleurostigma ,Microhylidae,34.83,14,5.16,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,32,13,3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,42,15,6.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,36,14.5,4.63,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,32,14,3.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,43,16,6.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,35,15,4.3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,6,5,5.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,40,16,9.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Kalophrynus palmatissimus,Microhylidae,37,16,6,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Kalophrynus palmatissimus,Microhylidae,39,17,7,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Kalophrynus palmatissimus,Microhylidae,11,7,9,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Kalophrynus palmatissimus,Microhylidae,43,18,22,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Kalophrynus palmatissimus,Microhylidae,30.97,13.63,13.88,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Kalophrynus palmatissimus,Microhylidae,37.1,16.02,16.15,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Kalophrynus palmatissimus,Microhylidae,24.84,11.34,11.11,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Limnonectes ibanorum,Dicroglossidae,68,40,33.73907831,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Limnonectes ibanorum,Dicroglossidae,65.5,43,31.2142781,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Limnonectes ibanorum,Dicroglossidae,94,54.5,66.0891791,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
